dialogueCode,dialoueNum,speakerCode,face,jumpto,lineKr,lineEng,itemCode,weight,onlyWhen,trigger,background
a,0,victor,smile,,안녕하세요?,Hello?,,,,,
a,1,victor,smile,,만나서 반가워요.,Nice to meet you.,,,,,
a,2,description,,,빅터가 살며시 웃는다,Victor smiles slightly.,,,<condition-code>,,
a,3,,,4,무시한다,Ignore,,-100,,,
a,3,,,5,저도 만나서 반가워요!,Nice to meet you too!,mirror,10,,,
a,4,victor,,7,…...,…...,,,,B,
a,5,victor,,7,날씨가 좋네요.,It's such a good day.,,,,,
a,6,victor,,7,그 거울은 뭔가요?,What's the mirror for?,,,,,
a,7,victor,,,"그나저나, 조금 배고프지 않나요?","Anyway, aren't you hungry now?",,,,,
a,8,end,,,,,,,,AA,
a,9,end,,,,,,,,AB,
b,0,victor,smile,,b안녕하세요?,bHello?,,,,,
b,1,victor,smile,,b만나서 반가워요.,bNice to meet you.,,,,,
b,2,description,,,b빅터가 살며시 웃는다,bVictor smiles slightly.,,,<condition-code>,,
b,3,,,4,b무시한다,bIgnore,,-100,,,
b,3,,,5,b저도 만나서 반가워요!,bNice to meet you too!,mirror,10,,,
b,4,victor,,7,b…...,b…...,,,,B,
b,5,victor,,7,b날씨가 좋네요.,bIt's such a good day.,,,,,
b,6,victor,,7,b그 거울은 뭔가요?,bWhat's the mirror for?,,,,,
b,7,victor,,,"b그나저나, 조금 배고프지 않나요?","bAnyway, aren't you hungry now?",,,,,
b,8,end,,,,,,,,AA,
b,9,end,,,,,,,,AB,
